[2026-05-19 14:12:27] URI: /lekhak/admin, VIEW: dashboard, PATH: C:\projects\apache\school1/src/lekhak/resources/themes/lekhak_themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-19 12:13:12] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/lekhak_themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-19 12:14:05] URI: /school1/lekhak/admin/content, VIEW: content, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/lekhak_themes/glass_admin/views/content.blade.php, IS_ADMIN: YES
[2026-05-19 12:14:39] URI: /school1/lekhak, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-19 12:22:00] URI: /school1/lekhak/node/1, VIEW: 404, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/404.blade.php, IS_ADMIN: NO
[2026-05-19 12:22:32] URI: /school1/lekhak/node/2, VIEW: 404, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/404.blade.php, IS_ADMIN: NO
[2026-05-19 12:22:48] URI: /school1/lekhak, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-19 12:28:56] URI: /school1/lekhak/node/7, VIEW: node, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/node.blade.php, IS_ADMIN: NO
[2026-05-19 12:31:46] URI: /school1/lekhak/node/7, VIEW: node, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/node.blade.php, IS_ADMIN: NO
[2026-05-19 13:38:56] URI: /school1/node/test-article, VIEW: node, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/node.blade.php, IS_ADMIN: NO
[2026-05-19 13:43:54] URI: /school1/lekhak/admin/login, VIEW: login, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/login.blade.php, IS_ADMIN: NO
[2026-05-19 13:44:07] URI: /school1/lekhak/admin/login, VIEW: login, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/login.blade.php, IS_ADMIN: NO
[2026-05-19 13:53:17] URI: /school1/lekhak/admin/login, VIEW: login, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/login.blade.php, IS_ADMIN: NO
[2026-05-19 15:46:47] URI: /school1/lekhak/admin/login, VIEW: login, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/login.blade.php, IS_ADMIN: NO
[2026-05-19 15:47:50] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/lekhak_themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-19 15:53:59] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/lekhak_themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-19 15:54:29] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/lekhak_themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-19 15:54:51] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/lekhak_themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-19 15:55:30] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/lekhak_themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-19 16:02:53] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/lekhak_themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-19 16:03:23] URI: /school1/lekhak/admin/content, VIEW: content, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/lekhak_themes/glass_admin/views/content.blade.php, IS_ADMIN: YES
